Character ID,Character Name,Spell Name,Incantation,Topic Label,Topic_0,Topic_1,Topic_2,Uses,Topic_0_weighted,Topic_1_weighted,Topic_2_weighted
3,Hermione Granger,General Counter-Spell,finite,LDA Topic 0: Offensive/Dark,0.96226233,0.018868618,0.018869042,1,0.96226233,0.018868618,0.018869042
1,Harry Potter,Summoning Charm,accio,LDA Topic 0: Offensive/Dark,0.95347583,0.023260888,0.023263305,1,0.95347583,0.023260888,0.023263305
1,Harry Potter,Patronus Charm,expecto patronum,LDA Topic 0: Offensive/Dark,0.96225065,0.018878317,0.018870993,1,0.96225065,0.018878317,0.018870993
3,Hermione Granger,Revulsion Jinx,relashio,LDA Topic 2: Defensive/Healing,0.015873907,0.015873676,0.9682524,1,0.015873907,0.015873676,0.9682524
1,Harry Potter,Summoning Charm,accio,LDA Topic 0: Offensive/Dark,0.95347583,0.023260888,0.023263305,1,0.95347583,0.023260888,0.023263305
3,Hermione Granger,Shield Charm,protego,LDA Topic 0: Offensive/Dark,0.97259295,0.013705476,0.013701603,1,0.97259295,0.013705476,0.013701603
3,Hermione Granger,Protego totalum,protego totalum,,0.0232571,0.4883777,0.48836523,1,0.0232571,0.4883777,0.48836523
3,Hermione Granger,Salvio hexia,salvio hexia,LDA Topic 0: Offensive/Dark,0.953487,0.02325652,0.02325652,1,0.953487,0.02325652,0.02325652
3,Hermione Granger,Muffliato Charm,muffliato,LDA Topic 2: Defensive/Healing,0.02325717,0.023257017,0.9534858,1,0.02325717,0.023257017,0.9534858
3,Hermione Granger,Muggle-Repelling Charm,repello muggletum,LDA Topic 0: Offensive/Dark,0.9534817,0.023258718,0.023259617,1,0.9534817,0.023258718,0.023259617
1,Harry Potter,Dissendium,dissendium,,0.023256203,0.95348763,0.023256203,1,0.023256203,0.95348763,0.023256203
3,Hermione Granger,Fire-Making Spell,incendio,LDA Topic 0: Offensive/Dark,0.9534852,0.023256576,0.023258258,1,0.9534852,0.023256576,0.023258258
1,Harry Potter,Expulso Curse,expulso,,0.023260288,0.95348346,0.023256293,1,0.023260288,0.95348346,0.023256293
3,Hermione Granger,Blasting Curse,confringo,,0.030310577,0.93938595,0.030303435,1,0.030310577,0.93938595,0.030303435
1,Harry Potter,Shield Charm,protego,LDA Topic 0: Offensive/Dark,0.97259295,0.013705476,0.013701603,1,0.97259295,0.013705476,0.013701603
1,Harry Potter,Protego totalum,protego totalum,,0.0232571,0.4883777,0.48836523,1,0.0232571,0.4883777,0.48836523
