Character Name,Spell Name,Incantation,Topic Label,Topic_0,Topic_1,Topic_2,Uses
Hermione Granger,Protego totalum,protego totalum,,0.0232571,0.4883777,0.48836523,1
Hermione Granger,Revelio Charm,revelio,,0.01587471,0.96824974,0.015875584,1
Hermione Granger,Revulsion Jinx,relashio,LDA Topic 2: Defensive/Healing,0.015873907,0.015873676,0.9682524,2
Hermione Granger,Salvio hexia,salvio hexia,LDA Topic 0: Offensive/Dark,0.953487,0.02325652,0.02325652,1
Hermione Granger,Shield Charm,protego,LDA Topic 0: Offensive/Dark,0.97259295,0.013705476,0.013701603,1
Hermione Granger,Unlocking Charm,alohomora,LDA Topic 2: Defensive/Healing,0.02325782,0.023258151,0.95348406,1
Hermione Granger,Wand-Lighting Charm,lumos,LDA Topic 2: Defensive/Healing,0.01886952,0.018868754,0.96226174,2
James Potter,Impediment Jinx,impedimenta,LDA Topic 2: Defensive/Healing,0.023256095,0.023257205,0.95348674,1
James Potter,Levicorpus,levicorpus,,0.023256417,0.9534872,0.023256417,1
Luna Lovegood,Episkey,episkey,LDA Topic 2: Defensive/Healing,0.023256162,0.023270627,0.9534732,1
Neville Longbottom,Boggart-Banishing Spell,riddikulus,,0.015878074,0.96824616,0.015875746,1
Neville Longbottom,Disarming Charm,expelliarmus,LDA Topic 2: Defensive/Healing,0.023257174,0.023257019,0.9534858,4
Parvati Patil,Boggart-Banishing Spell,riddikulus,,0.015878074,0.96824616,0.015875746,1
Professors,Protego Maxima,protego maxima,LDA Topic 0: Offensive/Dark,0.96824247,0.015883511,0.015874026,1
Professors,Repello Inimicum,repello inimicum,,0.010754703,0.9784924,0.0107529415,1
Professors,Shield Charm,protego,LDA Topic 0: Offensive/Dark,0.97259295,0.013705476,0.013701603,1
Remus Lupin,Boggart-Banishing Spell,riddikulus,,0.015878074,0.96824616,0.015875746,1
Remus Lupin,Freezing Charm,immobulus,,0.015874762,0.96824694,0.0158783,1
Remus Lupin,Patronus Charm,expecto patronum,LDA Topic 0: Offensive/Dark,0.96225065,0.018878317,0.018870993,1
Rolanda Hooch,Impediment Jinx,impedimenta,LDA Topic 2: Defensive/Healing,0.023256095,0.023257205,0.95348674,1
Ron Weasley,Boggart-Banishing Spell,riddikulus,,0.015878074,0.96824616,0.015875746,1
Ron Weasley,Imperius Curse,imperio,LDA Topic 0: Offensive/Dark,0.5315231,0.44960847,0.018868467,1
Ron Weasley,Levitation Charm,wingardium leviosa,LDA Topic 0: Offensive/Dark,0.9622566,0.018871378,0.01887204,1
Ron Weasley,Unlocking Charm,alohomora,LDA Topic 2: Defensive/Healing,0.02325782,0.023258151,0.95348406,1
Ron Weasley,Vera Verto,vera verto,LDA Topic 2: Defensive/Healing,0.015873669,0.015873253,0.9682531,1
Ron Weasley,Wand-Lighting Charm,lumos,LDA Topic 2: Defensive/Healing,0.01886952,0.018868754,0.96226174,1
Severus Snape,Disarming Charm,expelliarmus,LDA Topic 2: Defensive/Healing,0.023257174,0.023257019,0.9534858,2
Severus Snape,Killing Curse,avada kedavra,LDA Topic 0: Offensive/Dark,0.953487,0.023256972,0.023256045,1
Severus Snape,Patronus Charm,expecto patronum,LDA Topic 0: Offensive/Dark,0.96225065,0.018878317,0.018870993,1
Severus Snape,Snake-Vanishing Spell,vipera evanesca,LDA Topic 0: Offensive/Dark,0.95347524,0.02325671,0.02326798,1
Sirius Black,Disarming Charm,expelliarmus,LDA Topic 2: Defensive/Healing,0.023257174,0.023257019,0.9534858,1
Sirius Black,Leg-Locker Curse,locomotor mortis,,0.018870857,0.96226084,0.018868335,1
Sirius Black,Locomotion Charm,locomotor,LDA Topic 2: Defensive/Healing,0.018869806,0.018870339,0.9622598,1
Tom Riddle,Cistem Aperio,cistem aperio,LDA Topic 0: Offensive/Dark,0.953487,0.02325652,0.02325652,1
Tom Riddle,Spider repelling spell,arania exumai,LDA Topic 0: Offensive/Dark,0.9622623,0.018868929,0.018868828,1
Voldemort,Killing Curse,avada kedavra,LDA Topic 0: Offensive/Dark,0.953487,0.023256972,0.023256045,2
