Character Name,Dialogue,lines
Harry Potter,Voldemort?,Harry Potter: Voldemort?
Rubeus Hagrid,Shh!!,Rubeus Hagrid: Shh!!
Harry Potter,Me? Voldemort tried to kill...me?,Harry Potter: Me? Voldemort tried to kill...me?
Harry Potter,What happened to...to You-Know-Who?,Harry Potter: What happened to...to You-Know-Who?
Man,Sorry.,Man: Sorry.
Harry Potter,Muggles?,Harry Potter: Muggles?
Fred Weasley,I'm only joking. I am Fred.,Fred Weasley: I'm only joking. I am Fred.
Harry Potter,Excuse me! C-could you tell me how to-,Harry Potter: Excuse me! C-could you tell me how to-
Ginny Weasley,Good luck.,Ginny Weasley: Good luck.
Harry Potter,I'm Harry. Harry Potter.,Harry Potter: I'm Harry. Harry Potter.
Harry Potter,The what?,Harry Potter: The what?
Ron Weasley,Scar...?,Ron Weasley: Scar...?
Harry Potter,Oh,Harry Potter: Oh
Ron Weasley,Wicked.,Ron Weasley: Wicked.
Harry Potter,We'll take the lot!,Harry Potter: We'll take the lot!
Ron Weasley,Whoa!,Ron Weasley: Whoa!
Harry Potter,Bertie Bott's Every Flavour Beans?,Harry Potter: Bertie Bott's Every Flavour Beans?
Harry Potter,I got Dumbledore!,Harry Potter: I got Dumbledore!
Ron Weasley,I got about 6 of him.,Ron Weasley: I got about 6 of him.
Harry Potter,A little.,Harry Potter: A little.
Ron Weasley,Fred gave me a spell as to turn him yellow. Want to see?,Ron Weasley: Fred gave me a spell as to turn him yellow. Want to see?
Harry Potter,Yeah!,Harry Potter: Yeah!
Ron Weasley,Ahem. Sun-,Ron Weasley: Ahem. Sun-
Hermione Granger,Has anyone seen a toad? A boy named Neville's lost one.,Hermione Granger: Has anyone seen a toad? A boy named Neville's lost one.
Ron Weasley,No.,Ron Weasley: No.
Ron Weasley,I'm...Ron Weasley.,Ron Weasley: I'm...Ron Weasley.
Ron Weasley,Whoaa!,Ron Weasley: Whoaa!
Ron Weasley,Wicked.,Ron Weasley: Wicked.
Neville Longbottom,Trevor!  Sorry.,Neville Longbottom: Trevor!  Sorry.
Minerva McGonagall,The sorting ceremony will begin momentarily.,Minerva McGonagall: The sorting ceremony will begin momentarily.
Minerva McGonagall,We're ready for you now. Follow me.,Minerva McGonagall: We're ready for you now. Follow me.
Minerva McGonagall,Draco Malfoy.,Minerva McGonagall: Draco Malfoy.
Sorting Hat,SLYTHERIN!,Sorting Hat: SLYTHERIN!
Ron Weasley,There isn't a witch or wizard who went bad who wasn't in Slytherin.,Ron Weasley: There isn't a witch or wizard who went bad who wasn't in Slytherin.
Minerva McGonagall,Susan Bones.,Minerva McGonagall: Susan Bones.
Harry Potter,Ahh!,Harry Potter: Ahh!
Sorting Hat,Let's see...I know...Hufflepuff!,Sorting Hat: Let's see...I know...Hufflepuff!
Minerva McGonagall,Ronald Weasley.,Minerva McGonagall: Ronald Weasley.
Sorting Hat,Ha! Another Weasley. I know just what to do with you... Gryffindor!!,Sorting Hat: Ha! Another Weasley. I know just what to do with you... Gryffindor!!
Minerva McGonagall,Harry Potter.,Minerva McGonagall: Harry Potter.
Harry Potter,Not Slytherin. Not Slytherin.,Harry Potter: Not Slytherin. Not Slytherin.
Harry Potter,Not Slytherin...anything but Slytherin.,Harry Potter: Not Slytherin...anything but Slytherin.
Fred Weasley,We got Potter! We got Potter!,Fred Weasley: We got Potter! We got Potter!
George Weasley,We got Potter! We got Potter!,George Weasley: We got Potter! We got Potter!
Albus Dumbledore,Let the feast...begin.,Albus Dumbledore: Let the feast...begin.
Harry Potter,Wow.,Harry Potter: Wow.
Seamus Finnigan,I'm half and half. Me dad's a Muggle. Mam's a witch. Bit of a nasty shock for him when he found out.,Seamus Finnigan: I'm half and half. Me dad's a Muggle. Mam's a witch. Bit of a nasty shock for him when he found out.
Harry Potter,What's he teach?,Harry Potter: What's he teach?
Percy Weasley,Potions. But everyone knows it's the Dark Arts he fancies. He's been after Quirrell's job for years.,Percy Weasley: Potions. But everyone knows it's the Dark Arts he fancies. He's been after Quirrell's job for years.
Ron Weasley,Ahh!,Ron Weasley: Ahh!
Nearly Headless Nick,Hello! How are you? Welcome to Gryffindor.,Nearly Headless Nick: Hello! How are you? Welcome to Gryffindor.
Bloody Baron,Whoo-hoo-hoo!,Bloody Baron: Whoo-hoo-hoo!
Ron Weasley,I know you! You're Nearly Headless Nick!,Ron Weasley: I know you! You're Nearly Headless Nick!
Nearly Headless Nick,I prefer Sir Nicholas if you don't mind.,Nearly Headless Nick: I prefer Sir Nicholas if you don't mind.
Hermione Granger,Nearly headless? How can you be nearly headless?,Hermione Granger: Nearly headless? How can you be nearly headless?
Nearly Headless Nick,Like this.,Nearly Headless Nick: Like this.
Ron Weasley,Ahh!,Ron Weasley: Ahh!
Harry Potter,I think she fancies you.,Harry Potter: I think she fancies you.
Shrunken head,Welcome to Hogwarts.,Shrunken head: Welcome to Hogwarts.
Girl,Who's that?,Girl: Who's that?
The Fat Lady,Password?,The Fat Lady: Password?
Ron Weasley,That was bloody brilliant.,Ron Weasley: That was bloody brilliant.
Harry Potter,We got lost.,Harry Potter: We got lost.
Minerva McGonagall,Then perhaps a map? I trust you don't need one to find your seats.,Minerva McGonagall: Then perhaps a map? I trust you don't need one to find your seats.
Severus Snape,And what is the difference between monkshood and wolfbane?,Severus Snape: And what is the difference between monkshood and wolfbane?
Harry Potter,What's Seamus trying to do to that glass of water?,Harry Potter: What's Seamus trying to do to that glass of water?
Ron Weasley,Ah. Mail's here!,Ron Weasley: Ah. Mail's here!
Harry Potter,Can I borrow this?  Thanks.,Harry Potter: Can I borrow this?  Thanks.
Class,Up!,Class: Up!
Harry Potter,Wow.,Harry Potter: Wow.
Draco Malfoy,Up!,Draco Malfoy: Up!
Rolanda Hooch,With feeling!,Rolanda Hooch: With feeling!
Hermione Granger,Up. Up. Up. Up.,Hermione Granger: Up. Up. Up. Up.
Neville Longbottom,Oh...,Neville Longbottom: Oh...
Rolanda Hooch,Mr. Longbottom.,Rolanda Hooch: Mr. Longbottom.
Students,Neville...Neville...,Students: Neville...Neville...
Rolanda Hooch,M-M-Mr. Longbottom! Mr. Longbottom!,Rolanda Hooch: M-M-Mr. Longbottom! Mr. Longbottom!
Neville Longbottom,AHH!,Neville Longbottom: AHH!
Rolanda Hooch,Mr. Longbottom!,Rolanda Hooch: Mr. Longbottom!
Neville Longbottom,Down! Down! Ahhhh!,Neville Longbottom: Down! Down! Ahhhh!
Harry Potter,Neville!,Harry Potter: Neville!
Neville Longbottom,Help!!!,Neville Longbottom: Help!!!
Rolanda Hooch,Come back down this instant!,Rolanda Hooch: Come back down this instant!
Neville Longbottom,AHH!,Neville Longbottom: AHH!
Neville Longbottom,Help!,Neville Longbottom: Help!
Rolanda Hooch,Mr. Longbottom-!,Rolanda Hooch: Mr. Longbottom-!
Neville Longbottom,Ahhhh! Whoa! Ahhh!  Oh. Ah...help!  Ahh!,Neville Longbottom: Ahhhh! Whoa! Ahhh!  Oh. Ah...help!  Ahh!
Girl,Is he alright?,Girl: Is he alright?
Neville Longbottom,Owowowow.,Neville Longbottom: Owowowow.
Minerva McGonagall,Harry Potter?  Follow me.,Minerva McGonagall: Harry Potter?  Follow me.
Quirinus Quirrell,An iguana s-such as this is...,Quirinus Quirrell: An iguana s-such as this is...
Minerva McGonagall,You wait here.,Minerva McGonagall: You wait here.
Quirinus Quirrell,... an essential in-gredient.,Quirinus Quirrell: ... an essential in-gredient.
Nearly Headless Nick,Have you heard? Harry Potter's the new Gryffindor Seeker. I always knew he'd do well.,Nearly Headless Nick: Have you heard? Harry Potter's the new Gryffindor Seeker. I always knew he'd do well.
Ron Weasley,Seeker? But first years never make their house teams! You must be the youngest Quidditch player in...,Ron Weasley: Seeker? But first years never make their house teams! You must be the youngest Quidditch player in...
Fred Weasley,Brutal. But no one's died in years. Someone will vanish occasionally...,Fred Weasley: Brutal. But no one's died in years. Someone will vanish occasionally...
George Weasley,But they'll turn up in a month or two!,George Weasley: But they'll turn up in a month or two!
Harry Potter,But I've never even played Quidditch. What if I make a fool of myself?,Harry Potter: But I've never even played Quidditch. What if I make a fool of myself?
Hermione Granger,You won't make a fool of yourself. It's in your blood.,Hermione Granger: You won't make a fool of yourself. It's in your blood.
Harry Potter,I-I didn't know.,Harry Potter: I-I didn't know.
Harry Potter,Who doesn't?,Harry Potter: Who doesn't?
