Character Name,Dialogue,lines
Ron Weasley,Those are Nimbus Two Thousand and Ones! How did you get those?,Ron Weasley: Those are Nimbus Two Thousand and Ones! How did you get those?
Marcus Flint,A gift from Draco's father.,Marcus Flint: A gift from Draco's father.
Hermione Granger,At least no one on the Gryffindor team had to buy their way in. They got it on pure talent.,Hermione Granger: At least no one on the Gryffindor team had to buy their way in. They got it on pure talent.
Other,Ooh! Ugh! Yech!,Other: Ooh! Ugh! Yech!
Harry Potter,He'll know what to do.,Harry Potter: He'll know what to do.
Harry Potter,Ah! Oh Okay.,Harry Potter: Ah! Oh Okay.
Hermione Granger,He called me a Mudblood.,Hermione Granger: He called me a Mudblood.
Rubeus Hagrid,He did not!,Rubeus Hagrid: He did not!
Harry Potter,What's a Mudblood?,Harry Potter: What's a Mudblood?
Hermione Granger,It means dirty blood.â Mudblood's a really foul name for someone who is Muggle-born. Someone with non-magic parents. Someone like me. It's not a term one usually hears in civilized conversation.,Hermione Granger: It means dirty blood.â Mudblood's a really foul name for someone who is Muggle-born. Someone with non-magic parents. Someone like me. It's not a term one usually hears in civilized conversation.
Harry Potter,That's horrible!,Harry Potter: That's horrible!
Ron Weasley,It's disgusting.,Ron Weasley: It's disgusting.
Harry Potter,Not really.,Harry Potter: Not really.
Harry Potter,What?,Harry Potter: What?
Gilderoy Lockhart,Sorry?,Gilderoy Lockhart: Sorry?
Harry Potter,That voice.,Harry Potter: That voice.
Gilderoy Lockhart,Voice?,Gilderoy Lockhart: Voice?
Harry Potter,Didn't you hear it?,Harry Potter: Didn't you hear it?
Harry Potter,Spooky.,Harry Potter: Spooky.
Serpent of Slitherin,Blood. I smell blood. Let me rip you. Let me kill you. Kill! Kill!,Serpent of Slitherin: Blood. I smell blood. Let me rip you. Let me kill you. Kill! Kill!
Hermione Granger,Harry!,Hermione Granger: Harry!
Harry Potter,Did you hear it?,Harry Potter: Did you hear it?
Ron Weasley,Hear what?,Ron Weasley: Hear what?
Harry Potter,That voice.,Harry Potter: That voice.
Hermione Granger,Voice? What voice?,Hermione Granger: Voice? What voice?
Harry Potter,I heard it first in Lockhart's office. And then again just-,Harry Potter: I heard it first in Lockhart's office. And then again just-
Serpent of Slitherin,It's time.,Serpent of Slitherin: It's time.
Harry Potter,It's moving. I think it's going to kill.,Harry Potter: It's moving. I think it's going to kill.
Ron Weasley,Kill?,Ron Weasley: Kill?
Harry Potter,Strange. I've never seen spiders act like that.,Harry Potter: Strange. I've never seen spiders act like that.
Ron Weasley,I don't like spiders What's that?,Ron Weasley: I don't like spiders What's that?
Hermione Granger,The Chamber of Secrets has been opened enemies the heir beware.' It's written in blood.,Hermione Granger: The Chamber of Secrets has been opened enemies the heir beware.' It's written in blood.
Students,Ahhh! What's that?,Students: Ahhh! What's that?
Poppy Pomfrey,Oh!,Poppy Pomfrey: Oh!
Harry Potter,No. No.,Harry Potter: No. No.
Argus Filch,I'll kill ya I'll kill ya!,Argus Filch: I'll kill ya I'll kill ya!
Argus Filch,Ask him. It's him who's done it. You saw what he wrote on the wall.,Argus Filch: Ask him. It's him who's done it. You saw what he wrote on the wall.
Argus Filch,Rubbish!,Argus Filch: Rubbish!
Harry Potter,When I said I wasn't hungry. We were heading back to the common room when we found Mrs. Norris.,Harry Potter: When I said I wasn't hungry. We were heading back to the common room when we found Mrs. Norris.
Argus Filch,My cat has been Petrified. I wanna see some punishment!,Argus Filch: My cat has been Petrified. I wanna see some punishment!
Harry Potter,Strange?,Harry Potter: Strange?
Ron Weasley,Are you mad?,Ron Weasley: Are you mad?
Ron Weasley,Ahem. Vera verto!,Ron Weasley: Ahem. Vera verto!
Ron Weasley,Three guesses who.,Ron Weasley: Three guesses who.
Hermione Granger,Muggle-borns.,Hermione Granger: Muggle-borns.
Hermione Granger,Professor? What exactly does legend tell us lies within the Chamber?,Hermione Granger: Professor? What exactly does legend tell us lies within the Chamber?
Ron Weasley,D'you think it's true? D'you think there really is a Chamber of Secrets?,Ron Weasley: D'you think it's true? D'you think there really is a Chamber of Secrets?
Hermione Granger,Yes. Couldn't you tell? McGonagall's worried. All the teachers are.,Hermione Granger: Yes. Couldn't you tell? McGonagall's worried. All the teachers are.
Ron Weasley,Let's think. Who do we know who thinks all Muggle-borns are scum?,Ron Weasley: Let's think. Who do we know who thinks all Muggle-borns are scum?
Hermione Granger,If you're talking about Malfoy.,Hermione Granger: If you're talking about Malfoy.
Ron Weasley,Crabbe and Goyle must know. Maybe we could trick them into telling.,Ron Weasley: Crabbe and Goyle must know. Maybe we could trick them into telling.
Hermione Granger,Yes.,Hermione Granger: Yes.
Ron Weasley,Wicked! Malfoy'll tell us anything.,Ron Weasley: Wicked! Malfoy'll tell us anything.
Hermione Granger,Exactly. But it's tricky. I've never seen a more complicated potion.,Hermione Granger: Exactly. But it's tricky. I've never seen a more complicated potion.
Hermione Granger,A month.,Hermione Granger: A month.
Hermione Granger,I know. But it's the only plan we've got.,Hermione Granger: I know. But it's the only plan we've got.
Students,Yeah! Come on Slytherin!,Students: Yeah! Come on Slytherin!
Lee Jordan,Another goal for Slytherin! They lead Gryffindor ninety to thirty!,Lee Jordan: Another goal for Slytherin! They lead Gryffindor ninety to thirty!
Marcus Flint,Yeah! Yeah!,Marcus Flint: Yeah! Yeah!
Harry Potter,Wood! Look out!,Harry Potter: Wood! Look out!
Ron Weasley,I'll stop it.,Ron Weasley: I'll stop it.
Hermione Granger,No! Even with a proper wand it's too risky. You could hit Harry!,Hermione Granger: No! Even with a proper wand it's too risky. You could hit Harry!
Hermione Granger,Let's go.,Hermione Granger: Let's go.
Lee Jordan,Harry Potter has caught the Snitch! Gryffindor wins!,Lee Jordan: Harry Potter has caught the Snitch! Gryffindor wins!
Hermione Granger,Finite incantatem!,Hermione Granger: Finite incantatem!
Harry Potter,Thank you.,Harry Potter: Thank you.
Hermione Granger,Are you okay?,Hermione Granger: Are you okay?
Students,Oh! Ooh! Ugh!,Students: Oh! Ooh! Ugh!
Other,Ohh! Uhh!,Other: Ohh! Uhh!
Rubeus Hagrid,Broken? There's no bones left!,Rubeus Hagrid: Broken? There's no bones left!
Students,Uh-huh-ugh!,Students: Uh-huh-ugh!
Harry Potter,Ugh!,Harry Potter: Ugh!
Harry Potter,Uh!,Harry Potter: Uh!
Serpent of Slitherin,Kill. Kill Time to kill!,Serpent of Slitherin: Kill. Kill Time to kill!
Dobby,Hello!,Dobby: Hello!
Harry Potter,Dobby?,Harry Potter: Dobby?
Dobby,Harry Potter should have listened to Dobby! Harry Potter should have gone back home when he missed the train.,Dobby: Harry Potter should have listened to Dobby! Harry Potter should have gone back home when he missed the train.
Harry Potter,It was you You stopped the barrier from letting Ron and me through.,Harry Potter: It was you You stopped the barrier from letting Ron and me through.
Harry Potter,You nearly got Ron and me expelled!,Harry Potter: You nearly got Ron and me expelled!
Dobby,At least you would be away from here. Harry Potter must go home! Dobby thought his Bludger would be enough to make Harry Potter see that---,Dobby: At least you would be away from here. Harry Potter must go home! Dobby thought his Bludger would be enough to make Harry Potter see that---
Harry Potter,Your Bludger? You made that Bludger chase after me?,Harry Potter: Your Bludger? You made that Bludger chase after me?
Dobby,Uh-huh-huh Dobby is used to death threats sir. Dobby gets them five times a day at home.,Dobby: Uh-huh-huh Dobby is used to death threats sir. Dobby gets them five times a day at home.
Harry Potter,I don't suppose you could tell me why you're trying to kill me?,Harry Potter: I don't suppose you could tell me why you're trying to kill me?
Harry Potter,Why do you wear that thing Dobby?,Harry Potter: Why do you wear that thing Dobby?
Harry Potter,Repeat itself? You mean this has happened before?,Harry Potter: Repeat itself? You mean this has happened before?
Dobby,Ah! I shouldn't have said that! Oh! Ah! Dah! Bad Dobby! Bad!,Dobby: Ah! I shouldn't have said that! Oh! Ah! Dah! Bad Dobby! Bad!
Poppy Pomfrey,Put him here. What happened?,Poppy Pomfrey: Put him here. What happened?
Albus Dumbledore,There's been another attack.,Albus Dumbledore: There's been another attack.
Albus Dumbledore,It meansthat our students are in great danger.,Albus Dumbledore: It meansthat our students are in great danger.
Minerva McGonagall,What should I tell the staff.,Minerva McGonagall: What should I tell the staff.
Hermione Granger,Again? You mean the Chamber of Secrets has been opened before?,Hermione Granger: Again? You mean the Chamber of Secrets has been opened before?
Ron Weasley,Of course. Don't you see? Lucius Malfoy must have opened it when he was at school here. And now he's taught Draco how to do it.,Ron Weasley: Of course. Don't you see? Lucius Malfoy must have opened it when he was at school here. And now he's taught Draco how to do it.
Hermione Granger,Maybe. We'll have to wait for the Polyjuice Potion to know for sure.,Hermione Granger: Maybe. We'll have to wait for the Polyjuice Potion to know for sure.
Hermione Granger,Heh No. No one ever comes in here.,Hermione Granger: Heh No. No one ever comes in here.
Ron Weasley,Why?,Ron Weasley: Why?
Hermione Granger,Moaning Myrtle.,Hermione Granger: Moaning Myrtle.
Ron Weasley,Who?,Ron Weasley: Who?
Hermione Granger,Moaning Myrtle.,Hermione Granger: Moaning Myrtle.
Ron Weasley,Who's Moaning Myrtle?,Ron Weasley: Who's Moaning Myrtle?
Hermione Granger,She's a little sensitive.,Hermione Granger: She's a little sensitive.
Severus Snape,Expelliarmus!,Severus Snape: Expelliarmus!
Gilderoy Lockhart,Whoaah!,Gilderoy Lockhart: Whoaah!
Hermione Granger,Do you think he's all right?,Hermione Granger: Do you think he's all right?
Ron Weasley,Who cares?,Ron Weasley: Who cares?
Gilderoy Lockhart,Wands at the ready.,Gilderoy Lockhart: Wands at the ready.
Harry Potter,You wish.,Harry Potter: You wish.
Draco Malfoy,Everte statium!,Draco Malfoy: Everte statium!
Hermione Granger,Oh!,Hermione Granger: Oh!
Harry Potter,Rictusempra!,Harry Potter: Rictusempra!
Gilderoy Lockhart,I said disarm only!,Gilderoy Lockhart: I said disarm only!
Draco Malfoy,Serpensortia!,Draco Malfoy: Serpensortia!
Harry Potter,Sya- hassa- she. Sya- hasi- heth. Sya- hasi- heth.,Harry Potter: Sya- hassa- she. Sya- hasi- heth. Sya- hasi- heth.
Severus Snape,Vipera evanesca.,Severus Snape: Vipera evanesca.
Justin Finch-Fletchley,What are you playing at?,Justin Finch-Fletchley: What are you playing at?
Ron Weasley,You're a Parselmouth? Why didn't you tell us?,Ron Weasley: You're a Parselmouth? Why didn't you tell us?
Harry Potter,I'm a what?,Harry Potter: I'm a what?
Hermione Granger,You can talk to snakes.,Hermione Granger: You can talk to snakes.
Harry Potter,What's bad? If I hadn't told that snake not to attack Justin.,Harry Potter: What's bad? If I hadn't told that snake not to attack Justin.
Harry Potter,You were there! You heard me!,Harry Potter: You were there! You heard me!
Ron Weasley,I heard you speaking Parseltongue. Snake language?,Ron Weasley: I heard you speaking Parseltongue. Snake language?
Harry Potter,I spoke a different language? But- I didn't realize I- how can I speak a language without knowing I can?,Harry Potter: I spoke a different language? But- I didn't realize I- how can I speak a language without knowing I can?
Harry Potter,But I'm not I can't be.,Harry Potter: But I'm not I can't be.
Harry Potter,I'll see you back in the common room.,Harry Potter: I'll see you back in the common room.
Serpent of Slitherin,BloodI want bloodThey all must die. Kill Kill Kill! Time to kill.,Serpent of Slitherin: BloodI want bloodThey all must die. Kill Kill Kill! Time to kill.
Harry Potter,No! Mr. Filch! Y-you- you don't understand!,Harry Potter: No! Mr. Filch! Y-you- you don't understand!
Minerva McGonagall,Oh!,Minerva McGonagall: Oh!
Harry Potter,Professor I swear I didn't!,Harry Potter: Professor I swear I didn't!
Minerva McGonagall,Professor Dumbledore will be waiting for you. Sherbet lemon.,Minerva McGonagall: Professor Dumbledore will be waiting for you. Sherbet lemon.
Harry Potter,Professor Dumbledore?,Harry Potter: Professor Dumbledore?
Harry Potter,I I-I was- I was just wondering if you'd put me in the right house.,Harry Potter: I I-I was- I was just wondering if you'd put me in the right house.
Harry Potter,You're wrong.,Harry Potter: You're wrong.
Sorting Hat,Umm,Sorting Hat: Umm
Albus Dumbledore,Harry?,Albus Dumbledore: Harry?
Albus Dumbledore,Hagrid.,Albus Dumbledore: Hagrid.
Albus Dumbledore,Hagrid! Relax. I do not believe that Harry attacked anyone.,Albus Dumbledore: Hagrid! Relax. I do not believe that Harry attacked anyone.
Albus Dumbledore,Yes.,Albus Dumbledore: Yes.
Hermione Granger,Everything's set. We just need a bit of who you're changing into.,Hermione Granger: Everything's set. We just need a bit of who you're changing into.
Harry Potter,Crabbe and Goyle.,Harry Potter: Crabbe and Goyle.
Hermione Granger,We also need to make sure that the real Crabbe and Goyle can't burst in on us while we're interrogating Malfoy.,Hermione Granger: We also need to make sure that the real Crabbe and Goyle can't burst in on us while we're interrogating Malfoy.
Ron Weasley,How?,Ron Weasley: How?
Ron Weasley,Whose hair are you ripping out then?,Ron Weasley: Whose hair are you ripping out then?
Hermione Granger,I've already got mine. Millicent Bulstrodeâ Slytherin- I got this off her robes. I'm going to go check on the Polyjuice Potion. Make sure that Crabbe and Goyle find these.,Hermione Granger: I've already got mine. Millicent Bulstrodeâ Slytherin- I got this off her robes. I'm going to go check on the Polyjuice Potion. Make sure that Crabbe and Goyle find these.
Ron Weasley,Ahem,Ron Weasley: Ahem
Ron Weasley,Yeah. Right.,Ron Weasley: Yeah. Right.
Harry Potter,Wingardium leviosa. Here they come.,Harry Potter: Wingardium leviosa. Here they come.
Vincent Crabbe,It's good right? Ah Cool!,Vincent Crabbe: It's good right? Ah Cool!
Vincent Crabbe,Ummmum.,Vincent Crabbe: Ummmum.
Gregory Goyle,Ummmum.,Gregory Goyle: Ummmum.
Ron Weasley,How thick could you get?,Ron Weasley: How thick could you get?
Harry Potter,Come on. Let's get 'em.,Harry Potter: Come on. Let's get 'em.
Hermione Granger,We'll have exactly one hour before we change back into ourselves Add the hairs.,Hermione Granger: We'll have exactly one hour before we change back into ourselves Add the hairs.
Ron Weasley,Ugh- essence of Crabbe.,Ron Weasley: Ugh- essence of Crabbe.
Hermione Granger,Cheers!,Hermione Granger: Cheers!
Ron Weasley,I think I'm gonna be sick!,Ron Weasley: I think I'm gonna be sick!
Hermione Granger,Me too.,Hermione Granger: Me too.
Harry Potter,Ughh!,Harry Potter: Ughh!
Ron Weasley,Uh Harry?,Ron Weasley: Uh Harry?
Harry Potter,Ron!,Harry Potter: Ron!
Ron Weasley,Bloody hell!,Ron Weasley: Bloody hell!
Harry Potter,We still sound like ourselves. You need to sound more like Crabbe.,Harry Potter: We still sound like ourselves. You need to sound more like Crabbe.
Ron Weasley,Uh Bloody hell.,Ron Weasley: Uh Bloody hell.
Harry Potter,Excellent.,Harry Potter: Excellent.
Ron Weasley,But where's Hermione?,Ron Weasley: But where's Hermione?
Hermione Granger,I- I don't think I'm going. You go on without me!,Hermione Granger: I- I don't think I'm going. You go on without me!
Hermione Granger,Just go. You're wasting time!,Hermione Granger: Just go. You're wasting time!
Harry Potter,Come on.,Harry Potter: Come on.
Harry Potter,I think the Slytherin common room's this way.,Harry Potter: I think the Slytherin common room's this way.
Ron Weasley,Okay.,Ron Weasley: Okay.
Percy Weasley,Excuse me.,Percy Weasley: Excuse me.
Ron Weasley,Uhh,Ron Weasley: Uhh
Harry Potter,I'm,Harry Potter: I'm
Harry Potter,Ah- um Reading.,Harry Potter: Ah- um Reading.
Draco Malfoy,Reading?,Draco Malfoy: Reading?
Harry Potter,Uh-huh.,Harry Potter: Uh-huh.
Ron Weasley,AhemStomachache.,Ron Weasley: AhemStomachache.
Harry Potter,You're wrong!,Harry Potter: You're wrong!
Draco Malfoy,What? You think there's someone here who's worse than Dumbledore?,Draco Malfoy: What? You think there's someone here who's worse than Dumbledore?
Harry Potter,Harry Potter?,Harry Potter: Harry Potter?
Harry Potter,But then you must have some idea who's behind it all.,Harry Potter: But then you must have some idea who's behind it all.
Harry Potter,It's his stomachache. Calm down.,Harry Potter: It's his stomachache. Calm down.
Ron Weasley,S- scar.,Ron Weasley: S- scar.
Harry Potter,Hair!,Harry Potter: Hair!
Draco Malfoy,Hey! Where are you going?,Draco Malfoy: Hey! Where are you going?
Ron Weasley,That was close!,Ron Weasley: That was close!
Hermione Granger,Go away!,Hermione Granger: Go away!
Harry Potter,Hermione? A- are you OK?,Harry Potter: Hermione? A- are you OK?
Moaning Myrtle,Aaah!,Moaning Myrtle: Aaah!
Hermione Granger,Do you remember me telling you that the Polyjuice Potion was only for human transformations? It was cat's hair I plucked off Millicent Bulstrode's robes. Look at my face.,Hermione Granger: Do you remember me telling you that the Polyjuice Potion was only for human transformations? It was cat's hair I plucked off Millicent Bulstrode's robes. Look at my face.
Ron Weasley,Look at your tail!,Ron Weasley: Look at your tail!
Ron Weasley,Have you spoken to Hermione?,Ron Weasley: Have you spoken to Hermione?
Ron Weasley,Yuck!,Ron Weasley: Yuck!
Harry Potter,Looks like Moaning Myrtle's flooded the bathroom.,Harry Potter: Looks like Moaning Myrtle's flooded the bathroom.
Harry Potter,Why would I throw something at you?,Harry Potter: Why would I throw something at you?
Moaning Myrtle,Sure! Let's all throw books at Myrtle because she can't feel it! Ten points if you get through her stomach! Fifty points if it goes through her head!,Moaning Myrtle: Sure! Let's all throw books at Myrtle because she can't feel it! Ten points if you get through her stomach! Fifty points if it goes through her head!
Harry Potter,'Tom Marvolo Riddle.',Harry Potter: 'Tom Marvolo Riddle.'
Harry Potter,'My name is Harry Potter.',Harry Potter: 'My name is Harry Potter.'
Harry Potter,'Do you know anything about the Chamber of Secrets?',Harry Potter: 'Do you know anything about the Chamber of Secrets?'
Diary,Yes.,Diary: Yes.
Harry Potter,'Can you tell me?',Harry Potter: 'Can you tell me?'
Diary,No. But I can show you. Let me take you back fifty years ago,Diary: No. But I can show you. Let me take you back fifty years ago
Harry Potter,Excuse me. Could you tell me what's going on here? Are you Tom Riddle?,Harry Potter: Excuse me. Could you tell me what's going on here? Are you Tom Riddle?
Albus Dumbledore,Riddle! Come.,Albus Dumbledore: Riddle! Come.
Tom Riddle,Professor Dumbledore.,Tom Riddle: Professor Dumbledore.
Harry Potter,Dumbledore?,Harry Potter: Dumbledore?
Tom Riddle,Sir- if it all stopped- if the person responsible was caught--,Tom Riddle: Sir- if it all stopped- if the person responsible was caught--
Albus Dumbledore,Is there something you wish to tell me?,Albus Dumbledore: Is there something you wish to tell me?
Rubeus Hagrid,Let's get yeh out of there.,Rubeus Hagrid: Let's get yeh out of there.
Rubeus Hagrid,You can't! You don't understand.,Rubeus Hagrid: You can't! You don't understand.
Tom Riddle,The dead girl's parents will be here tomorrow. The least Hogwarts can do is make sure the thing that killed their daughter is slaughtered.,Tom Riddle: The dead girl's parents will be here tomorrow. The least Hogwarts can do is make sure the thing that killed their daughter is slaughtered.
Rubeus Hagrid,It wasn't him. Aragog never killed no one! Never!,Rubeus Hagrid: It wasn't him. Aragog never killed no one! Never!
Rubeus Hagrid,No!,Rubeus Hagrid: No!
Rubeus Hagrid,No!,Rubeus Hagrid: No!
Tom Riddle,Cistem aperio! Arania exumai!,Tom Riddle: Cistem aperio! Arania exumai!
Rubeus Hagrid,Aragog! Aragog!,Rubeus Hagrid: Aragog! Aragog!
Harry Potter,Hagrid! Haagriid!,Harry Potter: Hagrid! Haagriid!
Harry Potter,Woah!,Harry Potter: Woah!
Harry Potter,It was Hagrid. Hagrid opened the Chanter of Secrets fifty years ago.,Harry Potter: It was Hagrid. Hagrid opened the Chanter of Secrets fifty years ago.
Hermione Granger,It can't be Hagrid. It just can't be.,Hermione Granger: It can't be Hagrid. It just can't be.
Hermione Granger,Look. Hagrid's our friend. Why don't we just go and ask him about it?,Hermione Granger: Look. Hagrid's our friend. Why don't we just go and ask him about it?
Harry Potter,No!,Harry Potter: No!
Ron Weasley,No!,Ron Weasley: No!
Hermione Granger,No!,Hermione Granger: No!
Hermione Granger,It had to be a Gryffindor. Nobody else knows our password- unless it wasn't a student.,Hermione Granger: It had to be a Gryffindor. Nobody else knows our password- unless it wasn't a student.
Harry Potter,And they found it. Tom Riddle's diary is gone.,Harry Potter: And they found it. Tom Riddle's diary is gone.
Minerva McGonagall,This match has been cancelled.,Minerva McGonagall: This match has been cancelled.
Oliver Wood,We can't cancel Quidditch.,Oliver Wood: We can't cancel Quidditch.
Ron Weasley,Hermione!,Ron Weasley: Hermione!
Harry Potter,No.,Harry Potter: No.
Ron Weasley,But you heard McGonagall! We're not allowed to leave the tower except for class.,Ron Weasley: But you heard McGonagall! We're not allowed to leave the tower except for class.
Harry Potter,I think it's time to get my Dad's old cloak out again.,Harry Potter: I think it's time to get my Dad's old cloak out again.
Rubeus Hagrid,Who's there? Hello? Hello?,Rubeus Hagrid: Who's there? Hello? Hello?
Harry Potter,What's that for?,Harry Potter: What's that for?
Rubeus Hagrid,I'm fine! I'm alright.,Rubeus Hagrid: I'm fine! I'm alright.
Harry Potter,Did you hear about Hermione?,Harry Potter: Did you hear about Hermione?
Rubeus Hagrid,Of course! Come in! Come in.,Rubeus Hagrid: Of course! Come in! Come in.
Rubeus Hagrid,Take me? Take me where? Not Azkaban Prison?,Rubeus Hagrid: Take me? Take me where? Not Azkaban Prison?
Rubeus Hagrid,What're you doin' here? Get outta my house!,Rubeus Hagrid: What're you doin' here? Get outta my house!
Lucius Malfoy,You think so?,Lucius Malfoy: You think so?
Lucius Malfoy,Admirable sentiments. Shall we? Fudge!,Lucius Malfoy: Admirable sentiments. Shall we? Fudge!
Cornelius Fudge,Good boy.,Cornelius Fudge: Good boy.
Ron Weasley,What?!,Ron Weasley: What?!
Harry Potter,You heard what Hagrid said; 'Follow the spiders.',Harry Potter: You heard what Hagrid said; 'Follow the spiders.'
Ron Weasley,They're headed to the Dark Forest! Why spiders! Why couldn't it be follow the butterflies?â,Ron Weasley: They're headed to the Dark Forest! Why spiders! Why couldn't it be follow the butterflies?â
Harry Potter,Shush!,Harry Potter: Shush!
Ron Weasley,Can we go back now?,Ron Weasley: Can we go back now?
Harry Potter,Come on!,Harry Potter: Come on!
Aragog,Who is it?,Aragog: Who is it?
Harry Potter,Don't panic.,Harry Potter: Don't panic.
Aragog,Hagrid? Is that you?,Aragog: Hagrid? Is that you?
Harry Potter,We're friends of Hagrid's. And you? Y- y-you're Aragog aren't you?,Harry Potter: We're friends of Hagrid's. And you? Y- y-you're Aragog aren't you?
Aragog,Yes. Hagrid has never sent men into our hollow before.,Aragog: Yes. Hagrid has never sent men into our hollow before.
Aragog,That's a lie! Hagrid never opened the Chamber of Secrets.,Aragog: That's a lie! Hagrid never opened the Chamber of Secrets.
Harry Potter,Then you're not the monster.,Harry Potter: Then you're not the monster.
Ron Weasley,Harry.,Ron Weasley: Harry.
Aragog,We do not speak of it. It is an ancient creature we spiders fear above all others.,Aragog: We do not speak of it. It is an ancient creature we spiders fear above all others.
Harry Potter,But have you seen it?,Harry Potter: But have you seen it?
Ron Weasley,Harry!,Ron Weasley: Harry!
Harry Potter,What?,Harry Potter: What?
Ron Weasley,Ahh- hhh,Ron Weasley: Ahh- hhh
Ron Weasley,Can we panic now?,Ron Weasley: Can we panic now?
Ron Weasley,Know any spells?,Ron Weasley: Know any spells?
Ron Weasley,Where's Hermione when you need her?,Ron Weasley: Where's Hermione when you need her?
Harry Potter,Let's go! Arania exumai! Go!,Harry Potter: Let's go! Arania exumai! Go!
Harry Potter,Whoah!,Harry Potter: Whoah!
Ron Weasley,Whoah!,Ron Weasley: Whoah!
Ron Weasley,Glad we're out of there! Ah- Aaaah!,Ron Weasley: Glad we're out of there! Ah- Aaaah!
Harry Potter,Arania exumai!,Harry Potter: Arania exumai!
Ron Weasley,Thanks for that.,Ron Weasley: Thanks for that.
Harry Potter,Don't mention it. Get us out of here. Now! Come on! Come on! Move faster!,Harry Potter: Don't mention it. Get us out of here. Now! Come on! Come on! Move faster!
Harry Potter,Aah!,Harry Potter: Aah!
Ron Weasley,Aah!,Ron Weasley: Aah!
Harry Potter,Go on! Go! Get us in the air.,Harry Potter: Go on! Go! Get us in the air.
Ron Weasley,The flying gear's jammed!,Ron Weasley: The flying gear's jammed!
Harry Potter,Come on! Pull!,Harry Potter: Come on! Pull!
Ron Weasley,I'm trying!,Ron Weasley: I'm trying!
Harry Potter,We know one thing. Hagrid never opened the Chamber of Secrets. He was innocent.,Harry Potter: We know one thing. Hagrid never opened the Chamber of Secrets. He was innocent.
Ron Weasley,What's that?,Ron Weasley: What's that?
Harry Potter,The water. There was water on the floor that night. She only saw the basilisk's reflection. 'Spiders flee before it.' It all fits!,Harry Potter: The water. There was water on the floor that night. She only saw the basilisk's reflection. 'Spiders flee before it.' It all fits!
Ron Weasley,But how's a basilisk been getting around? A dirty great snake- someone would have seen it.,Ron Weasley: But how's a basilisk been getting around? A dirty great snake- someone would have seen it.
Ron Weasley,Pipes? It's using the plumbing!,Ron Weasley: Pipes? It's using the plumbing!
Ron Weasley,Moaning Myrtle.,Ron Weasley: Moaning Myrtle.
Gilderoy Lockhart,So sorry- dozed off- what have I missed?,Gilderoy Lockhart: So sorry- dozed off- what have I missed?
Gilderoy Lockhart,My m-moment?,Gilderoy Lockhart: My m-moment?
Severus Snape,Weren't you saying just last night that you've known all along where the entrance to the Chamber of Secrets is?,Severus Snape: Weren't you saying just last night that you've known all along where the entrance to the Chamber of Secrets is?
Minerva McGonagall,Ginny Weasley.,Minerva McGonagall: Ginny Weasley.
Ron Weasley,Her skeleton will lie in the chamber forever.' Ginny,Ron Weasley: Her skeleton will lie in the chamber forever.' Ginny
Ron Weasley,What about my sister?!,Ron Weasley: What about my sister?!
Ron Weasley,You're the Defense Against the Dark Arts teacher! You can't go now!,Ron Weasley: You're the Defense Against the Dark Arts teacher! You can't go now!
Gilderoy Lockhart,Well- I must say- when I took the job there was nothing in the job description about a,Gilderoy Lockhart: Well- I must say- when I took the job there was nothing in the job description about a
Harry Potter,You're running away? After all that stuff you did in your books?,Harry Potter: You're running away? After all that stuff you did in your books?
Gilderoy Lockhart,Books can be misleading!,Gilderoy Lockhart: Books can be misleading!
Harry Potter,You wrote them!,Harry Potter: You wrote them!
Harry Potter,You're a fraud! You've just been taking credit for what other wizards have done!,Harry Potter: You're a fraud! You've just been taking credit for what other wizards have done!
Ron Weasley,Is there anything you can do?,Ron Weasley: Is there anything you can do?
Harry Potter,Don't even think about it.,Harry Potter: Don't even think about it.
Harry Potter,To ask you how you died.,Harry Potter: To ask you how you died.
Harry Potter,Who was it Myrtle?,Harry Potter: Who was it Myrtle?
Harry Potter,Just like that? How?,Harry Potter: Just like that? How?
Harry Potter,Hesha- Hassah.,Harry Potter: Hesha- Hassah.
Ron Weasley,Better you than us.,Ron Weasley: Better you than us.
Harry Potter,All right. Let's go.,Harry Potter: All right. Let's go.
Harry Potter,Uhthanks Myrtle.,Harry Potter: Uhthanks Myrtle.
Harry Potter,Aaah!,Harry Potter: Aaah!
Ron Weasley,Aaah!,Ron Weasley: Aaah!
Ron Weasley,Ugh!,Ron Weasley: Ugh!
Ron Weasley,Go on.,Ron Weasley: Go on.
Harry Potter,This way.,Harry Potter: This way.
Ron Weasley,What's this?,Ron Weasley: What's this?
Gilderoy Lockhart,It looks like a snake.,Gilderoy Lockhart: It looks like a snake.
Harry Potter,It's a snakeskin.,Harry Potter: It's a snakeskin.
Ron Weasley,Harry! Harry!,Ron Weasley: Harry! Harry!
Ron Weasley,I'm fine!,Ron Weasley: I'm fine!
Gilderoy Lockhart,Uhh Hello. Who are you?,Gilderoy Lockhart: Uhh Hello. Who are you?
Ron Weasley,UmRon Weasley.,Ron Weasley: UmRon Weasley.
Ron Weasley,Lockhart's memory charm backfired. He hasn't got a clue who he is!,Ron Weasley: Lockhart's memory charm backfired. He hasn't got a clue who he is!
Ron Weasley,No!,Ron Weasley: No!
Gilderoy Lockhart,Really? Well?,Gilderoy Lockhart: Really? Well?
Ron Weasley,What'll do I do now?,Ron Weasley: What'll do I do now?
